电影名称,导演,主演,评分,评分人数,引述
撞车,保罗·哈吉斯 Paul Haggis,桑德拉·布洛克 Sandra Bullock / ...,8.6,169192,天使与魔鬼的冲撞。
海边的曼彻斯特,肯尼斯·罗纳根 Kenneth Lonergan,卡西·阿弗莱克 Casey Affle...,8.6,151931,我们都有权利不与自己的过去和解。
荒蛮故事,达米安·斯兹弗隆 Damián Szifron,达里奥·葛兰帝内提 Darío...,8.7,125220,始于荒诞，止于更荒诞。
一次别离,阿斯哈·法哈蒂  Asghar Farhadi,佩曼·莫阿迪 Peyman Moadi /...,8.7,127513,只有有信仰的人才能说出事实真相。
罗生门,黑泽明 Akira Kurosawa,三船敏郎 Toshirô Mifune / 千秋实 ...,8.7,119020,人生的N种可能性。
时空恋旅人,理查德·柯蒂斯 Richard Curtis,多姆纳尔·格利森 Domhnall Gl...,8.6,187687,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
心迷宫,忻钰坤 Yukun Xin,霍卫民 Weimin Huo / 王笑天 Xiaotian Wang ...,8.6,150522,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
唐伯虎点秋香,李力持 Lik-Chi Lee,周星驰 Stephen Chow / 巩俐 Li Gong / 陈...,8.4,305854,华太师是黄霑，吴镇宇四大才子之一。
超能陆战队,唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,斯科特...,8.6,351108,Balalala~~~
小森林 冬春篇,森淳一 Junichi Mori,桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,8.9,104490,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
战争之王,安德鲁·尼科尔 Andrew Niccol,尼古拉斯·凯奇 Nicolas Cage /...,8.5,168634,做一颗让别人需要你的棋子。
梦之安魂曲,达伦·阿伦诺夫斯基 Darren Aronofsky,艾伦·伯斯汀 Ellen Bur...,8.7,107819,一场没有春天的噩梦。
蝙蝠侠：黑暗骑士崛起,克里斯托弗·诺兰 Christopher Nolan,克里斯蒂安·贝尔 Christ...,8.5,283311,诺兰就是保证。
可可西里,陆川 Chuan Lu,多布杰 Duobujie / 张磊 Lei Zhang / 亓亮 Qi L...,8.6,124034,坚硬的信仰。
碧海蓝天,Luc Besson,让-马克·巴尔 Jean-Marc Barr / 让·雷诺 Jean Re...,8.7,105563,在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。
地球上的星星,阿米尔·汗 Aamir Khan,达席尔·萨法瑞 Darsheel Safary / 阿...,8.8,80324,天使保护事件始末。
秒速5厘米,新海诚 Makoto Shinkai,水桥研二 Kenji Mizuhashi / 近藤好美 ...,8.3,282000,青春就是放弃和怀念。
未麻的部屋,今敏 Satoshi Kon,岩男润子 Junko Iwao / 松本梨香 Rica Matsu...,8.8,89734,好的剧本是，就算你猜到了结局也猜不到全部。
恐怖游轮,克里斯托弗·史密斯 Christopher Smith,梅利莎·乔治 Melissa ...,8.3,304626,不要企图在重复中寻找已经失去的爱。
谍影重重2,保罗·格林格拉斯 Paul Greengrass,马特·达蒙 Matt Damon / ...,8.5,152831,谁说王家卫镜头很晃？
爆裂鼓手,达米安·沙泽勒 Damien Chazelle,迈尔斯·特勒 Miles Teller /...,8.6,225457,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
谍影重重,道格·里曼 Doug Liman,马特·达蒙 Matt Damon / 弗兰卡·波坦...,8.5,184413,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
